author,date,description,source,title,url
DOUG FERGUSON,2023-07-10T00:07:46,The Washington Post is reporting former AT&amp;T Chairman Randall Stephenson has resigned from the PGA Tour policy board.,Associated Press News,"Stephenson resigns from PGA Tour board over 'serious concerns' about Saudi deal, according to report",https://apnews.com/article/pga-tour-board-randall-stephenson-resigns-saudi-arabia-e77f7bd5928db0fdecf0043362c7bc19
JAKE OFFENHARTZ,2023-07-09T15:26:58,An influencer-backed energy drink that has earned viral popularity among children is facing scrutiny from lawmakers and health experts over its potentially dangerous levels of caffeine.,Associated Press News,"The FDA is being asked to look into Logan Paul's energy drink, which has the caffeine of 6 Coke cans",https://apnews.com/article/prime-logan-paul-chuck-schumer-energy-drink-68e157250a71401423a4c8b49d77980c
ERIKA KINETZ,2023-07-10T06:12:12,"Nearly 50,000 Russian soldiers have died in the war in Ukraine, according to a new statistical analysis.",Associated Press News,How many Russians have died in Ukraine? Data shows what Moscow hides,https://apnews.com/article/russia-ukraine-war-military-deaths-facd75c2311ed7be660342698cf6a409
SEUNG MIN KIM,2023-07-10T04:18:34,"President Joe Biden’s itinerary this week in Europe is dominated by the war in Ukraine. But first, he'll have a royal visit with King Charles III at Windsor Castle.",Associated Press News,"After meeting Sunak, Biden heads for Windsor Castle to discuss clean energy with King Charles III",https://apnews.com/article/president-joe-biden-king-charles-rishi-sunak-6993a2f6582425ebbdaccfbac89dd0f7
MIKE BALSAMO,2023-07-10T12:23:17,Disgraced sports doctor Larry Nassar has been stabbed multiple times during an altercation with another incarcerated person at a federal prison in Florida.,Associated Press News,Disgraced sports doctor Larry Nassar stabbed multiple times at Florida federal prison: AP sources,https://apnews.com/article/larry-nassar-gymnastics-stabbed-prison-98c5ca2052f0ebce4a785f5fa2b2ede2
HALELUYA HADERO,2023-07-09T05:57:12,What comes to mind when you hear the phrase Y2K? Here's a hint: It's no longer about a computer glitch that could have made the world go haywire at the end of 1999.,Associated Press News,Y2K fashion has taken over. And Gen Z is loving it,https://apnews.com/article/fashion-retail-trend-gen-z-millennial-9d5cdf091384841999f28be8a243f889
BOBBY CAINA CALVAN,2023-07-10T01:32:37,"Heavy rain has spawned extreme flooding in New York’s Hudson Valley, killing at least one person and forcing road closures.",Associated Press News,Extreme flooding overwhelms New York roadways and kills 1 person,https://apnews.com/article/new-york-flooding-extreme-weather-northeast-e3948a12e8146702f41124b7d5274a3e
KARL RITTER,2023-07-10T09:42:43,Turkish President Recep Tayyip Erdogan says his country might approve Sweden’s membership in NATO if European Union nations “open the way” to Turkey’s bid to join the EU.,Associated Press News,Erdogan says Turkey could approve Sweden's NATO membership if Europeans 'open way' to Turkey EU bid,https://apnews.com/article/nato-membership-sweden-turkey-347ef8ba4ff2e31d522f4df7049cf1ba
SARA BURNETT,2023-07-10T04:10:40,"As the Republican presidential primary intensifies this summer, most White House hopefuls are devoting their time to events in Iowa and New Hampshire, the states that will kick off the nomination process early next year.",Associated Press News,Trump and DeSantis begin eyeing Super Tuesday states as they prepare for 2024 long game,https://apnews.com/article/election-2024-republicans-desantis-trump-super-tuesday-297403b2df67925ecb2b53b4b0c50b85
JAKE BLEIBERG,2023-07-09T04:26:33,An AP investigation found the sheriff’s turn in the national spotlight belied years of complaints about corruption and dysfunction.,Associated Press News,Deputies accused a Texas sheriff of corruption and dysfunction. Then came the mass shooting,https://apnews.com/article/texas-neighbors-shooting-sheriff-3fc5e6d5c0dc004b67d3e94a76812732
MEG KINNARD,2023-07-09T23:53:14,"Roy Herron, a longtime Tennessee state lawmaker and former chairperson of the state Democratic Party, has died from injuries sustained in a jet ski accident.",Associated Press News,"Roy Herron, longtime Tennessee Democratic lawmaker, dies after injuries from jet ski accident",https://apnews.com/article/roy-herron-tennessee-obituary-8ea65d77728547e871a3029d4e0c3933
COLLEEN LONG,2023-07-09T15:42:27,"After major blows to his agenda by the Supreme Court, President Joe Biden is intent on making sure voters will have the final say.",Associated Press News,"Stymied by the Supreme Court, Biden wants voters to have the final say on his agenda",https://apnews.com/article/supreme-court-biden-election-student-loans-abortion-37aa38ed8582047b1be5c54261ab02d2
ARLEIGH RODGERS,2023-07-10T04:09:54,Families around the US are scrambling to navigate new laws that prohibit their transgender children and teenagers from accessing gender-affirming care.,Associated Press News,Families with transgender kids are increasingly forced to travel out of state for the care they need,https://apnews.com/article/lgbtq-transgender-kids-health-care-bans-117c082fcf431f02fd25ce253aa6d7a2
TIM REYNOLDS,2023-07-10T02:21:11,"Victor Wembanyama was yelling in celebration, punching the air, even got a Band-Aid on his right cheek because of some physicality.",Associated Press News,Wembanyama more aggressive in stronger second Summer League game with Spurs in Las Vegas,https://apnews.com/article/victor-wembanyama-spurs-summer-league-nba-las-vegas-37d8fa2d41cc1f5c06fc5b09572bd021
RIO YAMAT,2023-07-10T04:12:46,"A Las Vegas police officer accused of stealing nearly $165,000 in three casino heists is scheduled to face a jury as prosecutors paint him as a gambling addict who grew increasingly desperate under a crush of debt.",Associated Press News,Las Vegas police officer set to go on trial over $165k stolen in 3 casino heists,https://apnews.com/article/las-vegas-casino-heist-robberies-federal-trial-93a8060eeb7d98a9f528f9d5ca8104aa
RONALD BLUM,2023-07-10T04:46:07,The education of robot umpires has been complicated by an open secret in baseball for the past 150 years: The strike zone called on the field doesn’t match the one mapped out in the rule book.,Associated Press News,"What is a strike in baseball? Robots, rule book and umpires view it differently",https://apnews.com/article/mlb-robot-umpires-strike-zone-40ec7285ae4d1ccaf2621adcb8d72b02
ELAINE KURTENBACH,2023-07-10T04:25:45,Wall Street was uneven in early trading as it kicks off a week heavy with corporate earnings and inflation data for the Federal Reserve to consider before its next policy meeting later this month.,Associated Press News,Stock market today: Wall Street uneven ahead of US inflation update as US earnings season kicks off,https://apnews.com/article/stock-market-rates-china-inflation-e9dcf8aaac398c313e6887184319990b
TIM BOOTH,2023-07-10T05:03:57,"This All-Star week in Seattle was supposed to be Julio Rodríguez’s party, and it still might be. But there's no doubt this season hasn't matched the lofty expecations he and the team had after his sensational rookie year.",Associated Press News,J-Rod Show gets All-Star stage at home despite challenging second season in majors,https://apnews.com/article/julio-rodriguez-jrod-allstar-game-275d3cc6485e44a893c055e2a0780671
NOAH TRISTER,2023-07-10T05:59:43,"The Detroit Tigers just picked in the top five of the draft for the fifth time in six years. A couple years ago, the Tigers went 77-85 and looked like they were on the rise.",Associated Press News,Tigers still waiting for high draft picks to lead to victories,https://apnews.com/article/tigers-orioles-draft-cf64d3339a6ce1ac6290e996234d56bd
JAMES ELLINGWORTH,2023-07-10T05:06:55,Mercedes driver Lewis Hamilton is happy his old team McLaren is competitive in Formula One again. Even if it is at his expense.,Associated Press News,Hamilton happy his old team McLaren is competitive again despite losing out for 2nd at British GP,https://apnews.com/article/mclaren-f1-hamilton-norris-mercedes-f7aa0c0d5958191f0a5438371672f598
author,date,description,source,title,url
Stephen Collinson,2023-07-10T04:00:54Z,"President Joe Biden said before a critical trip to Europe that Ukraine is not yet ready to enter NATO. More to the point, the alliance is not yet ready for Ukraine to join in a historic step that could deter Moscow but that might also increase the risk of a US-Russia war.",CNN,Analysis: Why Ukraine's plea for NATO membership is such a profound dilemma for the West | CNN Politics,https://edition.cnn.com/2023/07/10/politics/ukraine-nato-western-dilemma/index.html
"Hande Atay Alam,Christian Edwards",2023-07-10T11:59:17Z,"Turkish President Recep Tayyip Erdogan said Monday that Brussels should clear the path for Ankara’s accession to the European Union, before his country approves Sweden’s bid for NATO membership.",CNN,Erdogan ties Sweden's NATO bid to Turkey's path to EU membership | CNN,https://edition.cnn.com/2023/07/10/europe/erdogan-turkey-nato-eu-sweden-intl/index.html
"Emiko Jozuka,Marc Stewart,Junko Ogura,Moeri Karasawa,Daniel Campisi",2023-07-10T01:50:04Z,Rina Gonoi vowed to bring her alleged tormentors to justice after she says she endured physical and verbal sexual abuse while serving in Japan’s Self-Defense Force.,CNN,"Rina Gonoi dreamed of defending Japan. Instead, her fellow soldiers sexually assaulted her | CNN",https://edition.cnn.com/2023/07/09/asia/japan-self-defense-force-sexual-harassment-hnk-intl-dst/index.html
Shawna Mizelle,2023-07-09T15:10:34Z,"A top House Republican said Sunday he agreed with the Biden administration’s contentious decision to supply cluster munitions to Ukraine as part of a new military aid package, while a prominent progressive Democrat said the US risks “losing our moral leadership” over the move.",CNN,Ukraine cluster munitions: A top House Republican supports Biden's decision while a prominent Democrat disagrees | CNN Politics,https://edition.cnn.com/2023/07/09/politics/cluster-bombs-ukraine-reaction-cnntv/index.html
"Tara Subramaniam,Manveena Suri",2023-07-10T05:33:51Z,"Heavy rains brought deadly floods to northern India on the weekend as the country’s capital marked its wettest July day in more than 40 years, according to authorities and local reports.",CNN,Northern India flooding: New Delhi records wettest July day in decades | CNN,https://edition.cnn.com/2023/07/10/india/india-delhi-wettest-day-flood-deaths-intl-hnk/index.html
"Matthew Chance,Mick Krever",2023-07-10T06:47:29Z,"A train used by Russian President Vladimir Putin to travel away from the public eye has a secret gym, Turkish bath and cosmetology suite on board, a brochure and blueprints leaked to the Dossier Center and shared with CNN reveal.",CNN,"Putin's 'ghost' train: Leaked documents reveal gym, spa, beauty equipment on board | CNN",https://edition.cnn.com/2023/07/10/europe/russia-putin-private-train-intl-cmd/index.html
"Sarah Sirgany,Kostyantin Gak,Ben Wedeman",2023-07-10T12:16:12Z,"In the frontline town of Siversk, eastern Ukraine, residents are surviving but life in wartime isn’t easy. Roughly 1,000 people hold on to their homes and lead a pale semblance of the lives they once had there.",CNN,Residents cling on to life in Ukrainian frontline town | CNN,https://edition.cnn.com/2023/07/10/europe/siversk-ukraine-frontline-life-intl-cmd/index.html
"Jessie Yeung,Yoonjung Seo,Paula Hancocks",2023-07-10T02:21:07Z,"In many supermarkets across South Korea, one item has conspicuously vanished from shelves: salt.",CNN,"Fukushima wastewater: South Korean shoppers hoard salt, seafood ahead of Japan's release of treated radioactive water | CNN Business",https://edition.cnn.com/2023/07/09/business/japan-fukushima-south-korea-panic-buying-intl-hnk/index.html
Nadeen Ebrahim,2023-07-10T10:27:28Z,"Its annual conferences have attracted the who’s-who of right-wing and hawkish, conservative politicians from the West, including former US Secretary of State Mike Pompeo, former United States National Security Adviser John Bolton and ex-Vice President Mike Pence.",CNN,"A darling of US conservatives, Iran's top opposition group may face an uncertain future | CNN",https://edition.cnn.com/2023/07/10/middleeast/iran-opposition-mek-future-mime-intl/index.html
Jessie Yeung,2023-07-10T07:05:27Z,"Six people have been killed and one injured in an early morning knife attack outside a kindergarten in southern China, according to Lianjiang city police and Chinese state-run media.",CNN,China knife attack outside kindergarten leaves six dead in Lianjiang | CNN,https://edition.cnn.com/2023/07/10/china/guangdong-lianjiang-kindergarten-attack-intl-hnk/index.html
Chris Lau,2023-07-09T02:41:05Z,"A restaurant in China that challenged its customers to eat more than 100 dumplings in return for a free meal has fallen foul of authorities, who are investigating whether it has violated the country’s anti-food waste law.",CNN,Authorities swoop on Chinese restaurant that challenged customers to eat 108 dumplings | CNN,https://edition.cnn.com/2023/07/08/china/china-eating-contest-investigation-intl-hnk/index.html
Dan Heching,2023-07-01T18:33:51Z,"The cast of new comedy “Joy Ride” was in for a treat on Friday, when legendary comic and actor Amy Schumer surprised them during their press tour in Miami.",CNN,"Amy Schumer surprises cast of 'Joy Ride,' praises their film as the 'comedy of the summer' | CNN",https://edition.cnn.com/2023/07/01/entertainment/amy-schumer-joy-ride-surprise/index.html
"Amy Cassidy,Nimi Princewill",2023-07-10T11:12:34Z,The United Nations has warned that Sudan could be on the verge of all-out-war after a weekend airstrike killed dozens in a residential area in the Sudanese city of Omdurman.,CNN,UN warns of 'full-scale civil war' in Sudan after weekend airstrike kills dozens | CNN,https://edition.cnn.com/2023/07/10/africa/un-sudan-civil-war-intl/index.html
"Mitchell McCluskey,Niamh Kennedy,Chris Liakos",2023-07-09T00:34:52Z,The BBC has suspended “a male member of staff” following allegations of sexual misconduct. UK tabloid The Sun first reported Friday that a woman had accused an unnamed male BBC presenter of paying her teen child for sexually explicit photographs.,CNN,BBC suspends presenter following sexual misconduct allegations | CNN,https://edition.cnn.com/2023/07/08/europe/bbc-presenter-sexual-misconduct-intl-hnk/index.html
"Catherine Nicholls,Christian Edwards",2023-07-10T09:06:42Z,"Dutch Prime Minister Mark Rutte said Monday he would step down as leader of the country’s ruling party and leave politics, after his government collapsed over immigration policy, Dutch national broadcaster and CNN affiliate NOS reported.",CNN,Dutch PM Mark Rutte to leave politics after government collapses | CNN,https://edition.cnn.com/2023/07/10/europe/rutte-netherlands-resignation-government-collapse-intl/index.html
Chris Isidore,2023-07-10T12:00:50Z,Former AT&T CEO Randall Stephenson has resigned from his post on the influential policy board of the PGA Tour in protest to the proposed merger with Saudi-backed LIV Golf.,CNN,PGA Tour board member Randall Stephenson quits over deal with LIV Golf | CNN Business,https://edition.cnn.com/2023/07/10/business/corporate-objection-liv-pga-deal/index.html
George Ramsay,2023-07-10T08:44:12.069Z,Belarusian tennis player Victoria Azarenka said “it wasn’t fair” that the Wimbledon crowd booed the end of her fourth-round match against Ukrainian Elina Svitolina.,CNN,Wimbledon: Belarusian Victoria Azarenka says it ‘wasn’t fair’ to be booed after facing Ukrainian Elina Svitolina | CNN,https://edition.cnn.com/2023/07/10/sport/victoria-azarenka-elina-svitolina-wimbledon-spt-intl/index.html
Jeremy Herb,2023-07-09T14:00:19Z,"President Joe Biden told CNN in an exclusive interview that Ukraine is not yet ready for NATO membership, saying that Russia’s war in Ukraine needs to end before the alliance can consider adding Kyiv to its ranks.",CNN,CNN Exclusive: Biden says war with Russia must end before NATO can consider membership for Ukraine | CNN Politics,https://edition.cnn.com/2023/07/09/politics/joe-biden-ukraine-nato-russia-cnntv/index.html
Luke McGee,2023-06-01T12:08:06Z,NATO officials are in a race against time to avoid the embarrassment of seeing the alliance miss its own stated aim of admitting Sweden to the alliance by July 11.,CNN,NATO Turkey: Alliance is in a race against time to save itself from a major embarrassment | CNN,https://edition.cnn.com/2023/06/01/europe/nato-turkey-sweden-membership-intl-cmd/index.html
Chris Lau,2023-07-01T07:48:12Z,An explosion at a chemical plant in Southeast China on Saturday sent huge billows of thick black smoke into the air.,CNN,Jiangxi: Explosion at chemical factory in China | CNN,https://edition.cnn.com/2023/07/01/china/china-chemical-factory-explosion-intl-hnk/index.html
